Exhibit Number,Description,Date,Category,Priority,File Type,Keywords,Legal Significance,Status,Source
N-3,Documentation of Respondent's requests for medical access,2026-01-06,OBSTRUCTION,8,pdf,medical access request email text,Proves attempts to obtain medical care and subsequent blocking,Original - Records,50
N-4,NBASW complaint receipt against social worker Jacqueline Gallant,2026-01-06,INTEGRITY,8,pdf,nbasw complaint receipt filed,Official record of reporting professional malfeasance/conflicts,Copy - Email Confirmation,50
N-5,Medical documentation or note regarding gastric distress,2026-01-06,SAFETY,8,pdf,pediatrician note gastric distress,Documented health issue resulting from unsupervised care changes,Copy,50
N-6,Formal Notice of Judicial Liability sent to Saint John administrators,2026-01-05,OBSTRUCTION,9,pdf,judicial liability notice email registry,Establishes formal notice to the court of systemic failures,Original - Email Transmission,50
N-7,Office of the Child Advocate complaint receipt (filed),2026-01-06,INTEGRITY,8,pdf,child advocate complaint receipt,Record of escalation through official child protection oversight,Copy - Email Confirmation,50
A-1,Police Email - Confirmation of arrest and Assault charge (Police File 25-2390069) against Applicant Emma Ryan,2025-09-26,PERJURY,10,pdf,police email assault charge arrest,Irrefutable third-party government proof that Applicant was the perpetrator of domestic violence; establishes safety risk and credibility issues,Original - Printed Official Document,51
A-2,Text message from Applicant Emma Ryan admitting to physical violence: 'I'm really sorry for hitting you Craig',2024-12-27,PERJURY,10,jpg,text message admission violence sorry hitting aggressor,Explicit apology and admission confirming the Applicant was the aggressor; central to establishing pattern of violence,Original - Digital Text Screenshot,51
A-3,Text exchange admitting meth use during pregnancy and potential exposure to infant,2024-12-10,SAFETY,10,jpg,text meth pregnancy admission exposure,Documents direct uncoerced admission of both prenatal and postnatal substance endangerment,Original - Digital Text Screenshot,51
A-4,"Photograph of Harper showing severe, medically significant diaper rash",2024-12-09,SAFETY,8,jpg,photo diaper rash neglect,Visual evidence of medical neglect linking instability to failure to provide basic care,Original - Printed Photograph,51
A-5,Medical Review Officer (MRO) Report showing 'Negative - Dilute' drug test result for Applicant,2025-01-06,INTEGRITY,7,pdf,mro report drug test negative dilute,Evidence of bad faith and attempt to evade or mask detection of ongoing substance use,Original - Printed Official Report,51
A-6,Photograph of Applicant Emma Ryan holding a meth pipe and propane torch,2025-05-22,SAFETY,10,jpg,photo meth pipe propane torch endangerment,Proof of contemporaneous active substance use and extreme fire hazards in child's environment,Original - Printed Photograph,51
A-7,Interim Parenting Order establishing legal access schedule,2025-10-06,OBSTRUCTION,9,pdf,interim parenting order access schedule,The legal foundation for the Contempt Motion; establishes mandates subsequently breached,Original - Sealed Official Court Order,51
A-8,Email from Applicant declaring intent to block access: 'wont see harper until... october',2025-06-18,OBSTRUCTION,10,pdf,email access denial intent contempt,Direct proof of willful sustained contempt and malicious intent to sever father-daughter bond,Original - Printed Email,51
A-9,Call Recording Transcript: Jane Ryan (Grandmother) refusing court-ordered exchange,2025-10-22,OBSTRUCTION,10,pdf,audio transcript jane ryan contempt gatekeeping,Proves maternal grandmother as the 'Architect' of contempt and willful access denial,Original - Printed Transcript,51
A-10,Bank record screenshots showing E-Transfers to alleged drug supplier,Unknown,FINANCIAL,8,jpg,bank screenshots etransfers supplier diversion,Evidence of financial diversion toward substance abuse and misappropriation of funds meant for child care,Original - Printed Financial Screenshots,51
A-11,Text message from Applicant admitting methamphetamine presence in breastmilk,2024-11-30,SAFETY,10,jpg,text meth breastmilk admission nursing,Direct admission of child endangerment and physical harm due to drug exposure,Original - Digital Text Screenshot,51
A-12,19-Page Signed Parenting Agreement ('Custody Xchange'),2025-01-22,INTEGRITY,7,pdf,parenting agreement custody xchange signed,Proves initial intent to contract and subsequent willful breach; shows joint approach is non-viable,Original - Printed Agreement,51
A-13,Text messages contradicting kidnapping claim by providing immediate safety/location updates,2024-12-09,PERJURY,9,jpg,text location proof kidnapping contradiction,Proves Respondent transparency and Applicant material misrepresentation/perjury,Original - Digital Text Screenshot,51
A-14,Email requesting medical records for Harper Ryan,2025-02-13,COMMUNICATION,6,pdf,email request medical records,Documents Respondent's proactive effort to secure necessary medical info which was blocked,Original - Printed Email,51
A-15,Summary of Formal Complaint against Social Worker Jacqueline Gallant regarding biased drug testing,2025-02-08,OBSTRUCTION,7,pdf,complaint social worker gallant conflict bias,Demonstrates systemic conflict and inconsistent enforcement of testing protocols,Original - Printed Written Summary,51
A-16,"Photo of meticulous health logs tracking feeding, diaper counts, and jaundice",2024-11-17,INTEGRITY,8,jpg,photo health log caregiving tracking,"Documents Respondent's attentive, medically-focused caregiving during infant's vulnerable first week",Original - Photograph,51
A-17,Text message character reference from Dawn Dixon (Ex-partner),2025-01-01,INTEGRITY,5,jpg,text character reference dawn dixon manipulation,Third-party attestation to Applicant's pattern of manipulation and Respondent's character,Original - Digital Text Screenshot,51
A-18,Video Evidence - December 9 Incident showing assault and thrown object (frying pan),2024-12-09,SAFETY,10,mp4,video incident assault choking frying pan,Direct proof of physical violence and child endangerment (throwing objects near infant),Original - Digital Video,52
A-21,Text message thread showing generalized hostility and verbal abuse from Applicant,2025-01-01,COMMUNICATION,6,jpg,text abusive thread hostility dysregulation,Illustrates Applicant's emotional dysregulation and high-conflict communication style,Original - Digital Text Screenshot,51
A-22,Detailed Contempt Log of 18 denied Sunday visits and 129 days of lost access,2025-11-13,OBSTRUCTION,10,pdf,log denied access Sundays contact blackout,Provides mathematical and factual basis for Contempt of Court motion; establishes systematic breach,Original - Printed Log/Screenshots,51
A-1,Police Email from Constable Benjamin Cannon confirming Emma Ryan was arrested and charged with Assault (Police File 25-2390069).,2025-09-26,SAFETY,10,pdf,police email assault charge arrest,"Third-party government proof that the Applicant was the perpetrator of domestic violence, critical to establishing safety risk.",Original - Government Record,53
A-2,"Digital text admission where Applicant apologizes for hitting Respondent, stating she doesn't know what else to do when angry.",2024-12-27,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of physical violence; establishes pattern of violence and contradicts prior claims.,Original - Screenshot,53
A-3,Digital text screenshot where Applicant admits to drug use during pregnancy and Respondent confirms 48 hours since meth exposure.,2024-12-10,SAFETY,10,jpg,text meth pregnancy admission screenshot,Documents prenatal and postnatal substance endangerment of the child.,Original - Screenshot,53
A-4,"Photograph showing severe, medically significant diaper rash on infant Harper.",2024-12-09,SAFETY,8,jpg,photo diaper rash neglect medical,Visual evidence of medical neglect contemporaneous with domestic incidents.,Original - Photo,53
A-5,Official Medical Review Officer (MRO) Report confirming Applicant's drug test result was 'Negative - Dilute'.,2025-01-06,INTEGRITY,9,pdf,mro report emma ryan negative dilute,Evidence of bad faith and suspicion of attempting to evade substance detection.,Original - Medical Record,53
A-6,Photograph of Applicant Emma Ryan holding a meth pipe in one hand and a propane torch in the other.,2025-05-22,SAFETY,10,jpg,photo meth pipe torch endangerment,Proves active substance use and extreme fire/safety hazards in child's environment.,Original - Photo,53
A-7,Sealed Interim Parenting Order from the Court of King's Bench establishing access schedule.,2025-10-06,OBSTRUCTION,9,pdf,signed interim order fdsj739,Forms the legal foundation for contempt charges due to subsequent willful breaches.,Copy - Court Record,53
A-8,Email from Applicant declaring she will block access to the child until seeing a judge in October.,2025-06-18,OBSTRUCTION,9,pdf,email access denial intent,Direct proof of willful contempt and malicious intent to sever parent-child bond.,Printed Email,53
A-9,Transcript of a call where maternal grandmother Jane Ryan refuses a court-ordered exchange.,2025-10-22,OBSTRUCTION,9,pdf,transcript jane ryan contempt call,Identifies the grandmother as a participant in willful obstruction and denial of access.,Printed Transcript,53
A-10,Screenshots of Applicant's bank records showing multiple E-Transfers to an alleged substance supplier.,Unknown,FINANCIAL,8,pdf,bank etransfer log supplier redacted,Evidence of financial diversion toward substance abuse and misappropriation of funds for child care.,Original - Screenshot,53
A-11,Text message from Applicant expressing worry about meth being passed through breastmilk.,2024-11-30,SAFETY,10,jpg,text meth breastmilk admission,Direct admission of child endangerment and physical harm through drug exposure during nursing.,Original - Screenshot,53
A-12,19-page signed 'Custody Xchange' Parenting Agreement signed by both parents.,2025-01-01,INTEGRITY,7,pdf,signed custody agreement jan2025,"Proves initial intent to contract and subsequent breach, demonstrating bad faith.",Copy,53
A-13,Time-stamped text messages informing Applicant of child's safety and location shortly after an incident.,2024-12-09,PERJURY,9,jpg,text safety location proof kidnapping contradiction,Directly refutes kidnapping allegations; proves perjury and material misrepresentation by Applicant.,Original - Screenshot,53
A-14,Email from Respondent to medical records custodian requesting Harper's records for informed decision-making.,2025-02-13,COMMUNICATION,6,pdf,email request medical records,Documents proactive efforts to secure child health information and Applicant's subsequent blocking.,Printed Email,53
A-15,Procedural summary of complaint against social worker Jacqueline Gallant for biased drug test enforcement.,2025-01-14,INTEGRITY,7,pdf,complaint social worker gallant,Demonstrates systemic conflict and disregard for court-confirmed protocols.,Copy,53
A-16,"Photograph of meticulous health logs (feeding, weight, diapers) for Harper's first week.",2024-11-17,INTEGRITY,8,jpg,photo health log postpartum,Documents Respondent's attentive and medically-focused caregiving during a vulnerable period.,Original - Photo,53
A-17,Text message from Respondent's ex-partner Dawn Dixon addressing Applicant's manipulative patterns.,2025-01-01,INTEGRITY,5,jpg,text character reference dawn dixon,Third-party character reference attesting to Applicant's pattern of manipulation.,Original - Screenshot,53
A-22,Contempt log confirming 18 denied Sunday visits and 129 consecutive days of lost access.,2025-03-24,OBSTRUCTION,10,pdf,contempt log denied visits sundays,Provides factual basis for Contempt of Court motion and shows systematic breach of orders.,Original - Log,53
A-56,Official MRO drug test report for Craig Schulz confirming a negative result for all screened substances.,2025-01-30,INTEGRITY,9,pdf,mro report craig schulz negative,Proves Respondent's sobriety and stability in direct contrast to Applicant's test results.,Original - Medical Record,53
A-83,Technical Summary Report confirming forensic integrity of digital files with SHA-256 hashes.,2025-11-10,INTEGRITY,8,pdf,pro se veritas technical summary,Authenticates Respondent's digital evidence and proves no manipulation or forgery.,Original - Technical Report,53
A-1,Police Email/Confirmation - Applicant Assault Criminal Charge (SJPF File No. 25-2390069),2025-09-26,SAFETY,10,pdf,police email assault charge,Third-party government documentation confirming applicant as the perpetrator of domestic violence,Original - Government Record,54
A-2,"Text Message Admission - ""I'm really sorry for hitting you Craig""",2024-11-21,SAFETY,10,jpg,text sorry hitting admission screenshot,Direct first-party admission of physical violence by Applicant,Original - Screenshot,"54, 55"
A-3,Admission of Methamphetamine Use during Pregnancy/Postpartum,2024-12-10,SAFETY,10,pdf,meth admission pregnancy breastfeeding,Proves child endangerment via prenatal and postnatal drug exposure,Original - Admission,54
A-4,Video Evidence - Applicant with Methamphetamine Paraphernalia (Pipe and Torch),2025-05-22,SAFETY,10,mp4,video meth pipe propane torch,Irrefutable visual proof of active drug use in child's environment,Original - Digital Video,"54, 55"
A-5,"Applicant's Laboratory Drug Test Result: ""Negative - Dilute""",2025-01-06,INTEGRITY,9,pdf,drug test negative dilute evasion,Medical indicator of attempt to mask drug use and evade testing,Copy - Medical Record,"54, 55"
A-6,Log of 18+ Consecutive Denials of Court-Ordered Access,2025-10-10,OBSTRUCTION,9,pdf,access denial log contempt,Mathematically documents willful contempt and systemic parental alienation,Original - Compilation,"54, 55"
A-7,Email from Applicant admitting deliberate denial of access,2025-06-18,OBSTRUCTION,10,pdf,email admission access judge october,Direct written admission of premeditated non-compliance with court orders,Original - Email,"54, 55"
A-8,"Audio Recording - Jane Ryan stating ""take me to court yourself""",2025-10-22,OBSTRUCTION,10,mp4,audio recording jane ryan contempt,Direct third-party admission of willful non-compliance and defiance of judicial authority,Original - Recording,"54, 55"
A-9,Photograph of Respondent's Facial Injuries (Black Eye),2024-10-01,SAFETY,9,jpg,photo black eye respondent assault,Objective physical evidence of assault by Applicant,Original - Photograph,"54, 55"
A-10,Evidence of Applicant Diverting Family Funds from Rent to Illicit Substances,2024-08-01,FINANCIAL,8,pdf,etransfer drug diversion tony baker,Proves financial irresponsibility and prioritization of drugs over child's necessities,Original - Banking Records,"54, 55"
A-1,Photograph of Black Eye sustained by Craig Schulz after domestic incident.,2024-11-19,SAFETY,10,jpg,black eye craig schulz domestic incident,Evidence of Applicant's physical violence against Respondent,Original,56
A-2,"Video Evidence Summary showing Applicant's aggression (mirror smashing, throwing objects).",2024-12-09,SAFETY,9,mp4,incident aggression mirror smashing video summary,Evidence of Applicant's unstable and violent behavior,Original,56
A-3,"Text Message Admission of Violence: ""I'm really sorry for hitting you Craig...""",2024-11-21,PERJURY,10,png,text message admission violence emma ryan,Irrefutable Admission Against Interest regarding physical abuse,Screenshot,56
A-4,Photograph documenting severe diaper rash neglected while in Applicant's care.,2024-12-09,SAFETY,8,jpg,harper diaper rash neglect medical photo,Evidence of neglect and inconsistent care standards,Original,56
A-5,"Records of Health Tracking for Harper including feeding, milestones, and doctor notes.",Unknown,INTEGRITY,6,pdf,health tracking harper feeding milestones logs,Demonstrates Respondent's proactive parenting and commitment,Original,56
A-6,"Screenshot of Applicant's Text Message: ""SHE IS NOT SAFE FROM ME CRAIG.""",2024-12-11,SAFETY,10,png,applicant text message risk safety admission,Direct acknowledgement of risk posed to the child by the Applicant,Screenshot,56
A-7,Communications proving Daily Contact Maintained after Dec 9th incident.,2024-12-09,COMMUNICATION,7,pdf,daily contact communications refutation claim,Refutes Applicant's 'no contact' claim and proves communication fraud,Copy,56
A-8,Documentation of Financial Support for Harper including savings fund records.,Unknown,FINANCIAL,7,pdf,financial support harper savings records,Proves Respondent's financial commitment to the child,Original,56
A-9,Documentation proving denial of 18 consecutive court-ordered Sunday visits.,2025-06-01,OBSTRUCTION,10,pdf,denial visits sunday court order contempt,Core evidence of chronic contempt of court,Original,56
A-10,Screenshot of 'Two Roofs One Home' Co-Parenting Application concept.,Unknown,COMMUNICATION,5,png,two roofs one home app concept screenshot,Demonstrates Respondent's proactive communication and co-parenting efforts,Screenshot,56
A-11,Records of Communication with J.R. regarding exchanges and interference.,Unknown,OBSTRUCTION,8,pdf,communication jane ryan interference logs,Evidence of obstruction by Applicant's agents (mother),Original,56
A-12,The Interim Court Order breached by the Applicant.,2025-03-22,OBSTRUCTION,9,pdf,interim court order breach contempt,Foundational judicial order for contempt proceedings,Government Record,56
A-13,Screenshots documenting denied access in direct breach of the court order.,2025-06-02,OBSTRUCTION,9,png,denied access screenshots breach court order,Corroborates duration and intent of contempt,Screenshot,56
A-14,Documentation of current access denials including refusal of video calls.,Unknown,COMMUNICATION,8,pdf,access denial video call refusal log,Evidence of ongoing obstruction and parental alienation,Original,56
A-15,Applicant email regarding False Breastfeeding Claim.,Unknown,PERJURY,9,pdf,breastfeeding claim email malicious fabrication,Proof of malicious fabrication and deflection from substance use,Copy,56
A-16,Respondent's Driving History and Conviction Record detailing 2019 DUI.,Unknown,INTEGRITY,4,pdf,driving history conviction record dui 2019,Evidence of Respondent's full candor and accountability,Government Record,56
A-17,Documentation related to Respondent's 2021 Business Failure and Past Gambling Struggles.,Unknown,INTEGRITY,4,pdf,business failure gambling records accountability,Evidence of Respondent's full candor and accountability,Copy,56
A-18,"Video Evidence Summary showing Assault with Harper in arms on Dec 9, 2024.",2024-12-09,SAFETY,10,mp4,video assault harper in arms summary,Core evidence of endangerment; basis for criminal charges,Original,56
A-19,Affidavit of Community Mentor corroborating Respondent's transformation.,Unknown,INTEGRITY,7,pdf,mentor affidavit transformation character,Corroborates Respondent's present fitness and character,Original,56
A-21,Financial Records showing E-Transfer Proof to alleged drug dealer.,2024-01-01,FINANCIAL,10,pdf,financial records etransfer drug dealer,Core evidence of financial diversion to substance abuse,Screenshot,56
A-22,Bank statement showing Respondent's deposit of $4000 and subsequent rent failure.,2024-08-01,FINANCIAL,8,pdf,bank statement deposit rent failure emma,Proof of Applicant's severe financial mismanagement,Original,56
B-1,Video of Emma Ryan cleaning/preparing a methamphetamine pipe.,2025-05-22,SAFETY,10,mp4,emma meth pipe video drug use,Direct visual evidence of active methamphetamine use while caring for child,Original,56
F-1,Screenshot of Facebook connection between Jacqueline Gallant and Applicant's brother.,Unknown,INTEGRITY,8,png,social worker facebook conflict interest,Proves conflict of interest and professional misconduct by social worker,Screenshot,56
A-1,Police Confirmation of Assault Charge (SJPF File 25-2390069) - Proves criminal charge against Applicant for domestic violence.,2024-12-09,SAFETY,10,pdf,police confirmation assault charge sjpf,Direct evidence of Applicant's criminal conduct and domestic violence.,Original - Government Record,"57, 58, 59"
A-2,"Applicant text admission: ""Im really sorry for hitting you Craig"" - Direct admission of perpetrating violence.",2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of physical assault; rebuts Applicant's false narrative.,Original - Screenshot,"57, 58, 59"
A-3,"Applicant text admission: ""meth in breastmilk for 5 days if not more"" - Evidence of prenatal/postnatal substance abuse.",2024-11-30,SAFETY,10,jpg,text admission meth breastmilk substance,Proves child endangerment through toxic exposure via lactation.,Original - Screenshot,"57, 58, 59"
A-5,Hospital records documenting Harper's birth and Applicant's distress during delivery consistent with drug use.,2024-11-12,INTEGRITY,7,pdf,hospital records birth distress drugs,Corroborates active substance use during labour and delivery.,Copy,58
A-6,Bank statements and E-transfers to known drug dealers - Evidence of financial mismanagement and drug funding.,2024-07-01,FINANCIAL,8,pdf,bank statements etransfer drug dealers,Proves funds were diverted from essentials to illegal substance procurement.,Original,57
A-8,"Applicant email stating ""won't see Harper until October"" - Admission of intentional access denial.",2025-06-18,OBSTRUCTION,9,pdf,email refusal access october harper,Evidence of willful contempt of court and parental alienation.,Original - Digital Record,"58, 60"
A-9,"Jane Ryan text: ""take ME to court"" and threats of loss of parental rights.",2025-10-22,OBSTRUCTION,8,jpg,text jane ryan court threats,Demonstrates third-party interference and gatekeeping by grandmother.,Original - Screenshot,"57, 58"
A-12,Interim Court Order issued by Master Maude granting Sunday access.,2025-03-22,INTEGRITY,10,pdf,interim court order sunday access,The standing order which the Applicant is accused of violating.,Original - Court Record,"58, 59"
A-27,Respondent's Master Communication Log documenting 129 consecutive days of blackout.,2025-06-04,OBSTRUCTION,9,pdf,communication log access denial blackout,Chronological proof of systematic denial of court-ordered parenting time.,Original,"57, 58"
A-75,Photo evidence of Respondent's injuries (black eye) from Applicant assault.,2024-11-19,SAFETY,10,jpg,photo black eye respondent assault,Physical proof of domestic violence perpetrated by the Applicant.,Original - Photo,"58, 60"
B-1,Video evidence (IMG_B1) showing Applicant cleaning/preparing a methamphetamine pipe.,2025-05-22,SAFETY,10,mp4,video meth pipe emma cleaning,Smoking gun evidence of active methamphetamine use while child is in care.,Original - Digital Media,"57, 60"
B-3,"Applicant drug test lab report: ""NEGATIVE – DILUTE"" indicating test circumvention.",2025-01-06,PERJURY,9,pdf,lab report drug test negative dilute,Indicates consciousness of guilt and active attempt to deceive the court.,Original - Lab Result,"57, 58, 60"
C-1,Photographic evidence of Harper with severe diaper rash documenting physical neglect.,2024-12-09,SAFETY,8,jpg,photo diaper rash harper neglect,Documentary proof of physical neglect during the Applicant's parenting time.,Original - Photo,"57, 60"
F-2,Formal complaint filed with NBASW against social worker Jacqueline Gallant.,2025-02-10,INTEGRITY,7,pdf,nbasw complaint social worker Gallant,Documents systemic conflict of interest and professional bias.,Copy,"57, 60"
L-1,Master Video Log containing forensically certified video evidence on USB.,2025-11-14,COMMUNICATION,10,mp4,master video log usb forensic,Aggregated forensically sound digital evidence of misconduct.,Original - Forensic Copy,57
A-1,Photograph of Black Eye (Craig Schulz) showing violence pattern,2024-11-19,SAFETY,10,jpg,photo black eye craig schulz violence,Direct physical evidence of domestic assault and unfitness,Original,"61, 62"
A-2,Text message from Emma Ryan admitting to hitting Craig,2024-11-21,PERJURY,10,png,text message admission hitting emma,Direct admission of physical violence/aggression,Screenshot,62-64
A-3,"Video of violent outburst, property damage, and choking incident while holding child",2024-12-09,SAFETY,10,mp4,video choking assault harper frying pan,Visual proof of life-threatening violence and child endangerment,Original - USB,62-64
A-4,Medical Records - Emergency Room visit for injuries,2024-11-19,SAFETY,9,pdf,medical record emergency room injury,Third-party medical corroboration of assault,Copy,"61, 62"
A-5,Medical Report - Negative Dilute urine sample result,2025-01-06,INTEGRITY,9,pdf,medical report negative dilute drug test,Indicates attempt to mask substance use; judicially suspicious,Original,"62, 63"
A-6,Screenshot/Video of Emma Ryan with active meth pipe and torch while child present,2025-05-22,SAFETY,10,jpg,meth pipe torch child present photo,Direct proof of active substance abuse and child endangerment,Original - Cryptographic Verified,"62, 65"
A-7,Financial Records showing rent non-payment despite receiving funds,2024-08-01,FINANCIAL,7,pdf,rent nonpayment financial records ci bc,Evidence of financial instability and mismanagement of family funds,Original,"62, 64"
A-8,Email from Emma Ryan declaring intent to block access until October,2025-06-18,OBSTRUCTION,10,pdf,email access denial intent blockade,Direct admission of premeditated contempt of court order,Original,"62, 66"
A-9,Audio Transcript of Jane Ryan refusing court-ordered access,2025-10-22,OBSTRUCTION,9,pdf,transcript jane ryan take me to court,Proof of third-party interference and willful defiance of court order,Original Transcript,"62, 63"
A-14,Screenshots documenting 19 denied Sunday parenting visits,2024-08-18,OBSTRUCTION,9,png,screenshot denied visits calendar log,Meticulous documentation of systematic contempt of court,Screenshot,"61, 62"
A-15,Formal complaint against Social Worker Jacqueline Gallant for Conflict of Interest,2025-02-08,INTEGRITY,8,pdf,complaint nbasw gallant conflict,Challenges the integrity and impartiality of the CPS investigation,Copy,"62, 67"
A-21,E-Transfer records showing payments to Tony Baker (Alleged Drug Dealer),Unknown,FINANCIAL,9,pdf,etransfer drug dealer tony baker koh o,Direct link between family funds and illicit substance procurement,Original,"62, 64"
P-1,Saint John Police Force confirmation of criminal assault charge #25-2390069,2025-09-25,PERJURY,10,pdf,police file assault charge emma ryan,Confirmed criminal conduct; refutes applicant's foundational affidavit,Original - Government Record,"62, 68"
N-1,Video of infant Harper left unattended in vehicle at -22°C,2026-01-04,SAFETY,10,mp4,video harper car cold irving station,Gross negligence and active medical endangerment,Original,"62, 67"
A-1,Police Email - Assault Charge Confirmation,2025-09-26,PERJURY,10,pdf,police email assault charge confirmation,Proves criminal charge against applicant; establishes pattern of violence,Original - Government Record,69
A-2,Text Admission - I'm really sorry for hitting you,2024-12-09,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence by Emma Ryan,Original - Screenshot,"70, 71"
A-3,Cole-Emma-Tony conversation re: December 9 incident,2024-12-09,COMMUNICATION,10,png,cole emma tony conversation dec9,Documentation of the December 9 violent incident and participants,Screenshot,72
A-4,Emma's December 9 threatening messages,2024-12-09,OBSTRUCTION,10,png,emma threatening message narrative truth,Establishes intent to manipulate narrative and threaten public exposure,Screenshot,72
A-5,Emma-Harper assault documentation (December 9 incident),2024-12-09,SAFETY,10,mp4,emma harper assault documentation video,Visual evidence of physical assault behavior and child endangerment,Original,72
A-6,E-transfer records from Jane Ryan funding methamphetamine,2024-12-09,FINANCIAL,10,pdf,etransfer jane ryan drug funding,Proves grandmother funded applicant's substance abuse immediately before violence,Copy,"73, 74"
A-7,Proof of Access Denial - 129 consecutive days,2025-10-10,OBSTRUCTION,10,pdf,access denial 129 days timeline,Proves systematic violation of court-ordered access and parental alienation,Original,"71, 75"
A-8,Video - Reunion with Harper after 129-day denial,2025-10-10,INTEGRITY,10,mp4,reunion video harper father bond,Visual proof of secure attachment and child's comfort with father,Original,76
A-9,Video - Maternal grandmother leaving infant in vehicle at -22C,2026-01-04,SAFETY,10,mp4,endangerment vehicle cold weather video,Direct proof of physical endangerment and neglect by maternal network,Original,73-75
A-10,Emma admission text re: meth in breastmilk,2024-12-24,SAFETY,10,jpg,emma admission meth breastmilk,Direct admission of poisoning an infant through breastfeeding while using drugs,Screenshot,"73, 77"
A-11,Photo - Methamphetamine paraphernalia and propane torch in home,2025-05-31,SAFETY,10,jpg,photo meth paraphernalia torch home,Physical evidence of active substance use in the child's residence,Original,"77, 78"
A-12,Hostile Emails from Emma Ryan - threats re: 'piss every day',2025-06-18,COMMUNICATION,8,pdf,hostile email emma threats drug accusations,Demonstrates pattern of harassment and baseless accusations,Original,79
A-13,Email thread re: Father's Day denial and violence admission,2025-06-15,OBSTRUCTION,10,pdf,fathers day denial email admission violence,Proves willful contempt of court order and historical violence,Original,79
A-14,iCash Loan Agreement (Source of SIN/Account Numbers),2024-11-01,FINANCIAL,5,jpg,icash agreement emma sin financial,Rebuts hacking allegations; shows Emma voluntarily provided information,Screenshot,78
A-15,Emma text admission re: banking card (wallet excuse rebuttal),2025-06-25,INTEGRITY,7,jpg,emma text drug debt banking card,Proves the missing wallet was not the cause of financial distress/drug debt issues,Screenshot,78
A-1,Police Email - Assault Charge Confirmation,2025-09-26,PERJURY,10,pdf,police email assault charge,Proves criminal charge against applicant and undermines credibility,Original - Government Record,80
A-2,"Admission of Violence Text - ""I'm really sorry for hitting you""",2024-11-21,SAFETY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence while infant was present,Original - Screenshot,81
A-3,Video Recording - IMG_0667 involving drugs and knives,Unknown,SAFETY,10,mp4,video drugs knives baby luna,Evidence of substance abuse and weapon use around children,Original,82
A-4,Formal Complaint PDF regarding Jane Ryan,2025-12-03,INTEGRITY,7,pdf,formal complaint jane ryan school district,Documenting professional misconduct and breach of privacy,Original,83
A-5,Criminal Disclosure - Saint John Police Force File #25-2390069,Unknown,FINANCIAL,8,pdf,criminal disclosure police file 252390069,Active criminal charges facing applicant's immediate family,Copy,"80, 83"
A-6,Evidence Integrity Certification - SHA256 hashing,2025-11-06,INTEGRITY,9,pdf,sha256 hash integrity certification,Certifies authenticity and chain of custody of digital evidence,Original,80
A-5,Evidence of Emma's substance abuse,Unknown,SAFETY,9,pdf,emma substance abuse proof,Documents pattern of drug use impacting child safety,Not in source,29
A-6,Evidence of Emma's substance abuse,Unknown,SAFETY,9,pdf,emma substance abuse proof additional,Corroborates pattern of drug use,Not in source,29
A-9,Evidence of Emma's contempt of court orders,Unknown,OBSTRUCTION,9,pdf,emma contempt court documentation,Documents willful violation of parenting time orders,Not in source,29
A-14,Evidence of Emma's contempt,Unknown,OBSTRUCTION,9,pdf,contempt evidence emma,Further proof of violation of court-ordered access,Not in source,29
A-35,Contempt documentation - denial of access,Unknown,OBSTRUCTION,9,pdf,access denial contempt 35,Documents pattern of violating interim access orders,Not in source,29
